频率f1(Mhz),频率f2(Mhz),频率f3(Mhz),光速c(m/s)
1575.42,1227.60,1176.45,299792458

历元号,卫星名,P1,P2,P3,Φ1,Φ2,Φ3
8,G04,19999999.99,19999999.9,20000000.07,0.016589,0.049261,6.052009
8,G05,20000000.06,19999999.98,19999999.96,0.023835,0.045082,0.032385
8,G06,19999999.77,20000000.03,19999999.8,0.034605,0.045243,0.032903
8,G07,19999999.97,19999999.86,19999999.79,0.044009,2.055068,0.047926
8,G08,20000000.05,19999999.96,19999999.95,0.044033,0.03882,0.042525
8,G09,19999999.91,20000000.08,19999999.86,0.052276,0.053926,0.055937
8,G10,20000000.14,20000000.08,19999999.99,0.036088,0.057409,0.044052
9,G01,19999999.91,20000000.01,20000000.07,0.04629,0.065394,0.032652
9,G02,19999999.99,20000000.17,19999999.93,0.036736,0.053015,0.038365
9,G03,20000000.11,19999999.94,19999999.82,0.033818,0.037936,0.036853
9,G04,19999999.8,19999999.95,20000000.06,0.031463,0.046805,0.043814
9,G05,19999999.91,20000000.07,20000000.13,0.033449,7.055189,0.055321
9,G06,20000000.09,20000000.14,20000000.03,0.049038,10.0436,0.057534
9,G07,19999999.9,20000000.06,20000000.02,0.052885,0.075019,0.038488
9,G08,20000000.09,20000000,19999999.99,0.043364,0.04773,0.061465
9,G09,20000000.11,20000000,19999999.88,0.037698,0.029229,0.045863
9,G10,20000000,19999999.97,20000000.07,0.039486,0.046479,0.034386
10,G01,20000000.03,19999999.87,20000000.09,0.040952,0.078437,0.065255
10,G02,20000000.02,19999999.95,20000000.18,0.027059,5.066512,0.038695
10,G03,19999999.81,20000000.03,19999999.97,0.055031,0.070055,0.055747
10,G04,20000000.03,19999999.91,19999999.88,0.046877,7.058423,0.072567
10,G05,19999999.96,20000000,19999999.8,0.058455,0.047883,6.050095
10,G06,20000000.06,19999999.96,19999999.97,0.037262,0.068383,7.032423
10,G07,20000000.01,19999999.86,19999999.86,0.044563,0.07523,0.055271
10,G08,20000000.1,19999999.99,19999999.94,0.065522,0.062869,5.026794
10,G09,20000000.03,20000000.06,19999999.86,0.047153,0.071878,0.057718
10,G10,19999999.93,20000000.17,19999999.91,5.05023,9.059889,0.050115
